scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,unc_mass,unc_inertia,unc_thrust,unc_yaw_coeff,time_step,time_sec,x,y,z,effective_mass_scale,effective_inertia_scale,effective_thrust_scale,effective_yaw_coeff_scale
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,96,0.4,1.0298038901472888,1.0837311350651495,1.2626009744569262,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,120,0.5,1.0392395988787808,1.1192678402764815,1.2707026517211124,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,144,0.6,1.0514896024437683,1.1653626129801786,1.2779737386978591,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,168,0.7,1.0662543955573847,1.2208958477742462,1.2841088562420906,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,192,0.8,1.0831361665697845,1.2843824044289658,1.2891665610901668,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,216,0.9,1.1016885211911775,1.354153507270213,1.2938980933178357,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,240,1.0,1.1214163693214116,1.4283531563481577,1.2975355613977886,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,264,1.1,1.1418527808602963,1.5052266203848463,1.3010257769255904,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,288,1.2,1.1625408644111819,1.5830530724913332,1.3039168284875104,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,312,1.3,1.1830682067552873,1.6602770641487683,1.306160126806542,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,336,1.4,1.2030657476949884,1.7355059368327088,1.3084286581277382,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,360,1.5,1.2222228556497763,1.8075678084948459,1.3099105724087943,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,384,1.6,1.2402704466475383,1.8754485148010138,1.3115173773860216,1.3258878252537856,1.0,1.0,1.0
